method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_minhash_lsh,9cvd-uyw6.csv,ELL PRINCIPAL,"medium
",986,0,2,58470,0.9999663628107235,1.0,0.9979757085020243,0.9989868287740628,0.04803586006164551,0.7,nyc_1000_4
cms,reri-chf8.csv,grade_12,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,656.0399296283722,0.7,nyc_1000_4
cms_sampling,reri-chf8.csv,grade_12,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,325.3142590522766,0.7,nyc_1000_4
cms_earlystopping,reri-chf8.csv,grade_12,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,105.67412090301514,0.7,nyc_1000_4
cms_minhash,reri-chf8.csv,grade_12,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.1838226318359375,0.7,nyc_1000_4
cms_minhash_lsh,reri-chf8.csv,grade_12,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.0004336833953857422,0.7,nyc_1000_4
cms,268n-a7em.csv,local,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,631.010148525238,0.7,nyc_1000_4
cms_sampling,268n-a7em.csv,local,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,313.2520122528076,0.7,nyc_1000_4
cms_earlystopping,268n-a7em.csv,local,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,151.09078001976013,0.7,nyc_1000_4
cms_minhash,268n-a7em.csv,local,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.16232967376709,0.7,nyc_1000_4
cms_minhash_lsh,268n-a7em.csv,local,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.007439136505126953,0.7,nyc_1000_4

